com.samsung.shealth.badge,6292001,1
number_of_streak,start_time,exercise_type,device_type,status,sleep_coaching_session_uuid,update_time,create_time,source_pkg_name,key,program_id,is_shown,time_offset,extra_data,deviceuuid,pkg_name,exercise_data_uuid,controller_id,end_time,datauuid
1,2025-01-14 23:00:00.000,,,1,,2025-01-15 06:11:15.742,2025-01-15 06:11:15.742,,sleep_excellent_sleep,,,UTC+0100,,R0X8Tl1DGH,com.sec.android.app.shealth,,Sleep.Goal,2025-01-15 22:59:59.999,3e381106-5fce-4cd8-9454-cab5682482dd,
1,2025-01-14 23:00:00.000,,,1,,2025-01-15 06:11:15.761,2025-01-15 06:11:15.761,,sleep_goal_first_sleep,,,UTC+0100,,R0X8Tl1DGH,com.sec.android.app.shealth,,Sleep.Goal,2025-01-15 22:59:59.999,45ba89a6-c1d5-4216-86bb-c1e66b8b5d33,
1,2025-01-15 23:00:00.000,,,1,,2025-01-16 06:47:18.681,2025-01-16 06:47:18.681,,sleep_good_sleep,,,UTC+0100,,R0X8Tl1DGH,com.sec.android.app.shealth,,Sleep.Goal,2025-01-16 22:59:59.999,e5414684-c9ca-4009-a876-9bdda50db205,
,2025-01-17 23:00:00.000,,100003,1,,2025-01-18 12:23:03.984,2025-01-18 12:23:03.984,com.sec.android.app.shealth,step_milestone_10k_steps,,,UTC+0100,7534.854009456061,R0X8Tl1DGH,com.sec.android.app.shealth,,tracker.pedometer,2025-01-18 22:59:59.999,bfb65b31-88ff-4a49-9d1c-5a8551459163,
1,2025-02-22 23:00:00.000,,,2,,2025-02-23 06:27:23.262,2025-01-20 06:38:03.634,,sleep_3_days_streak,,,UTC+0100,"0,0",R0X8Tl1DGH,com.sec.android.app.shealth,,Sleep.Goal,2025-02-23 22:59:59.999,2d1b3464-c2d0-49c9-9b10-22dbfe715444,
35,2025-02-23 14:07:26.542,11007,,2,,2025-02-23 14:07:32.562,2025-01-21 21:27:05.412,,cycling_goal_200K_accumulated,,,UTC+0100,,R0X8Tl1DGH,com.sec.android.app.shealth,2e2796b8-8f06-4592-8b9b-2f83f1d9f56f,tracker.exercise,2025-02-23 14:07:32.542,babd6ae4-d4f4-49ea-8389-02c7a77e9601,
7,2025-02-01 00:00:00.000,,,0,,2025-02-27 14:49:34.343,2025-01-31 23:00:03.419,,daily_activity_month_streak_feb,,,UTC+0000,{"a":false},R0X8Tl1DGH,com.sec.android.app.shealth,,tracker.daily_activity,2025-02-27 00:00:00.000,a6a65e86-367a-4070-a2b2-c5fa6f7d28f6,
1,2025-02-16 23:00:00.000,,,1,,2025-02-17 05:49:14.865,2025-02-17 05:49:14.865,,sleep_excellent_sleep,,,UTC+0100,,R0X8Tl1DGH,com.sec.android.app.shealth,,Sleep.Goal,2025-02-17 22:59:59.999,3b42d978-3853-48d9-a25c-d212d95d1355,
1,2025-02-18 23:00:00.000,,,1,,2025-02-19 07:46:58.299,2025-02-19 07:46:58.299,,sleep_excellent_sleep,,,UTC+0100,,R0X8Tl1DGH,com.sec.android.app.shealth,,Sleep.Goal,2025-02-19 22:59:59.999,4dd99ad9-188c-44b7-9527-944911751afd,
1,2025-02-19 23:00:00.000,,,1,,2025-02-20 06:33:06.364,2025-02-20 06:33:06.364,,sleep_excellent_sleep,,,UTC+0100,,R0X8Tl1DGH,com.sec.android.app.shealth,,Sleep.Goal,2025-02-20 22:59:59.999,72cc942e-52f4-40fe-8ae6-7e7111291578,
1,2025-02-20 23:00:00.000,,,1,,2025-02-21 06:49:51.520,2025-02-21 06:49:51.520,,sleep_excellent_sleep,,,UTC+0100,,R0X8Tl1DGH,com.sec.android.app.shealth,,Sleep.Goal,2025-02-21 22:59:59.999,03e110b4-bfaf-4aad-b5d2-f4d333b3a62c,
1,2025-02-22 23:00:00.000,,,1,,2025-02-23 06:27:23.180,2025-02-23 06:27:23.180,,sleep_excellent_sleep,,,UTC+0100,,R0X8Tl1DGH,com.sec.android.app.shealth,,Sleep.Goal,2025-02-23 22:59:59.999,5edc5bb5-5f44-4d2f-b93c-ba6afb8ce848,
