com.samsung.shealth.activity.day_summary,6292001,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,62850050,0,0,1189,300,792796,90,0,62900750,2025-02-05 10:02:38.588,10,2025-01-14 15:14:37.234,0.0,30,30,-1,60000,14,7,0,8,889.10376,0,43.83628,a20df94d-967e-4973-95b7-c61ab529612a.extra_data.json,R0X8Tl1DGH,400,com.sec.android.app.shealth,792396,86400000,a20df94d-967e-4973-95b7-c61ab529612a,2025-01-14 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-02-05 10:02:38.743,10,2025-01-14 15:14:38.791,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,46d61a99-86f4-4dd9-bcfa-f7313645c0f8.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,46d61a99-86f4-4dd9-bcfa-f7313645c0f8,2025-01-13 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-02-05 10:02:38.931,10,2025-01-14 15:14:38.944,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,cf258fda-0c92-431b-8343-333ac435db57.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,cf258fda-0c92-431b-8343-333ac435db57,2025-01-12 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-02-05 10:02:39.168,10,2025-01-14 15:14:39.078,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,9fb2f6be-5dfa-429f-97cf-0bb634b35da4.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,9fb2f6be-5dfa-429f-97cf-0bb634b35da4,2025-01-11 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-02-05 10:02:39.669,10,2025-01-14 15:14:39.214,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,56983899-e2cc-4309-a1e1-4312f51fe2d9.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,56983899-e2cc-4309-a1e1-4312f51fe2d9,2025-01-10 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-02-05 10:02:39.952,10,2025-01-14 15:14:39.380,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,f11a1822-239a-4472-8195-3d2a515bda2d.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,f11a1822-239a-4472-8195-3d2a515bda2d,2025-01-09 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-01-31 08:37:36.596,10,2025-01-14 15:14:39.742,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,6a6caf22-4758-415d-86c7-03d4e64ce1b8.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,6a6caf22-4758-415d-86c7-03d4e64ce1b8,2025-01-08 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-01-31 08:37:37.631,10,2025-01-14 15:14:40.004,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,f4fa27b0-c7be-48a0-a2af-0473f1b5182f.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,f4fa27b0-c7be-48a0-a2af-0473f1b5182f,2025-01-07 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-01-31 08:37:38.808,10,2025-01-14 15:14:40.123,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,6e8fb275-cf46-4a3a-ac32-6bb01d2acbeb.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,6e8fb275-cf46-4a3a-ac32-6bb01d2acbeb,2025-01-06 00:00:00.000,
0,62850050,0,0,0,300,0,90,0,62900750,2025-01-31 08:37:39.594,10,2025-01-14 15:14:40.273,0.0,30,30,-1,0,0,0,0,8,0.0,0,0.0,1775c15c-f85d-4d9e-8e61-0a1030a50ec4.extra_data.json,R0X8Tl1DGH,0,com.sec.android.app.shealth,0,86400000,1775c15c-f85d-4d9e-8e61-0a1030a50ec4,2025-01-05 00:00:00.000,
