com.samsung.shealth.exercise.weather,6293007,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
0.0,1737475713000,2025-01-21 21:26:53.000,0.0,,SE,Partly Sunny,1737444380000,1,TWC,2025-01-21 21:27:01.000,2025-01-21 21:27:04.853,1,0.0,1.0,83,UTC+0100,MhLCbMNGdz,64323466-5f36-305f-6431-313130393736,com.sec.android.app.shealth,km/h,0,10.0,19,36373930-3131-3164-5f30-365f66343264,
1.0,1739724861000,2025-02-16 13:06:00.000,0.0,,E,Partly Sunny,1739688350000,1,TWC,2025-02-16 13:07:50.000,2025-02-16 13:07:53.598,1,0.0,2.0,58,UTC+0100,MhLCbMNGdz,64323466-5f34-305f-3862-326531623736,com.sec.android.app.shealth,km/h,0,23.0,2,36376231-6532-6238-5f30-345f66343264,
1.0,1739724861000,2025-02-16 13:47:48.000,50.873627,,E,Partly Sunny,1739688350000,1,TWC,2025-02-16 14:32:23.000,2025-02-16 14:32:32.914,1,6.057644,3.0,55,UTC+0100,MhLCbMNGdz,66636338-5f34-305f-3438-636531623736,com.sec.android.app.shealth,km/h,0,21.0,2,36376231-6563-3834-5f30-345f38636366,
1.0,1739897945000,2025-02-18 14:27:19.000,50.87348,,E,Partly Sunny,1739861126000,1,TWC,2025-02-18 14:52:08.000,2025-02-18 14:52:11.578,1,6.0577164,3.0,48,UTC+0100,MhLCbMNGdz,36343666-5f34-305f-3763-383934623736,com.sec.android.app.shealth,km/h,0,18.0,2,36376234-3938-6337-5f30-345f66363436,
0.0,1739897950000,2025-02-18 18:51:01.000,50.87348,,E,Sunny,1739861130000,1,TWC,2025-02-18 18:51:10.000,2025-02-18 18:51:12.796,1,6.0577164,0.0,57,UTC+0100,MhLCbMNGdz,39323133-5f36-305f-3539-366434623736,com.sec.android.app.shealth,km/h,0,13.0,18,36376234-6436-3935-5f30-365f33313239,
1.0,1739984459000,2025-02-19 12:15:08.000,51.45069,,ESE,Cloudy,1739947410000,1,TWC,2025-02-19 12:20:30.000,2025-02-19 12:20:33.319,1,5.4729495,5.0,44,UTC+0100,MhLCbMNGdz,34306235-5f65-305f-6334-626335623736,com.sec.android.app.shealth,km/h,0,16.0,3,36376235-6362-3463-5f30-655f35623034,
1.0,1739984417000,2025-02-19 14:51:00.000,51.45069,,E,Partly Sunny,1739947258000,1,TWC,2025-02-19 15:01:15.000,2025-02-19 15:01:20.873,1,5.4729495,7.0,44,UTC+0100,MhLCbMNGdz,34626435-5f34-305f-3464-666535623736,com.sec.android.app.shealth,km/h,0,16.0,2,36376235-6566-6434-5f30-345f35646234,
0.0,1740070962000,2025-02-20 09:00:10.000,51.45069,,S,Cloudy,1740033661000,1,TWC,2025-02-20 09:15:24.000,2025-02-20 09:15:30.690,1,5.4729495,8.0,89,UTC+0100,MhLCbMNGdz,38376637-5f30-375f-6131-666536623736,com.sec.android.app.shealth,km/h,0,11.0,3,36376236-6566-3161-5f37-305f37663738,
0.0,1740070969000,2025-02-20 09:33:46.000,51.45069,,S,Cloudy,1740033689000,1,TWC,2025-02-20 09:47:34.000,2025-02-20 09:47:39.541,1,5.4729495,9.0,85,UTC+0100,MhLCbMNGdz,38643935-5f34-305f-6166-366636623736,com.sec.android.app.shealth,km/h,0,11.0,3,36376236-6636-6661-5f30-345f35396438,
1.0,1740070964000,2025-02-20 11:30:12.000,51.45069,,S,Cloudy,1740033684000,1,TWC,2025-02-20 11:49:59.000,2025-02-20 11:50:01.425,1,5.4729495,12.0,71,UTC+0100,MhLCbMNGdz,38363834-5f34-305f-3434-323137623736,com.sec.android.app.shealth,km/h,0,16.0,3,36376237-3132-3434-5f30-345f34383638,
0.0,1740070916000,2025-02-20 16:29:27.000,51.45069,,SSW,Cloudy,1740033645000,1,TWC,2025-02-20 16:45:28.000,2025-02-20 16:45:32.972,1,5.4729495,11.0,82,UTC+0100,MhLCbMNGdz,37613635-5f34-305f-3736-383537623736,com.sec.android.app.shealth,km/h,0,16.0,3,36376237-3538-3637-5f30-345f35366137,
0.0,1740157478000,2025-02-21 15:31:29.000,51.45069,,SSE,Partly Sunny,1740119966000,1,TWC,2025-02-21 15:46:28.000,2025-02-21 15:46:36.473,1,5.4729495,18.0,51,UTC+0100,MhLCbMNGdz,66663762-5f30-375f-3135-633938623736,com.sec.android.app.shealth,km/h,0,18.0,2,36376238-3963-3531-5f37-305f62376666,
0.0,1740157425000,2025-02-21 16:23:52.000,51.45069,,SSE,Partly Sunny,1740119922000,1,TWC,2025-02-21 16:34:29.000,2025-02-21 16:34:37.455,1,5.4729495,17.0,55,UTC+0100,MhLCbMNGdz,66333464-5f30-375f-3839-386138623736,com.sec.android.app.shealth,km/h,0,16.0,2,36376238-6138-3938-5f37-305f64343366,
